url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/gleanwork/jobs/4597178005	2026-05-12	greenhouse-api	Product Manager, Connectors	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4641940005	2026-05-12	greenhouse-api	Product Manager, Glean Protect (Security & Governance)	Glean	added
https://jobs.ashbyhq.com/perplexity/5ec96ca1-319a-4b85-99ce-e06629099cf9	2026-05-12	ashby-api	Product Marketing Manager	Perplexity	added
https://jobs.ashbyhq.com/perplexity/9e3a4516-b893-4579-9a6a-3720658e4b6d	2026-05-12	ashby-api	Solutions Product Marketing Manager	Perplexity	added
https://jobs.ashbyhq.com/perplexity/f25e190e-0508-4707-b575-fcaed358dc13	2026-05-12	ashby-api	Product Manager (Builder)	Perplexity	added
https://jobs.lever.co/qonto/16aae667-4e3a-4c03-acf0-f70c9e6a695c	2026-05-12	lever-api	Product Marketing Manager - Remuneration	Qonto	added
https://jobs.lever.co/qonto/4aff341d-3732-418f-b6fa-84e36c1e7979	2026-05-12	lever-api	Senior Product Manager - Accounting Domain - French speaking 🇫🇷	Qonto	added
https://jobs.lever.co/qonto/feadc191-e77b-49db-af62-6440e7a42d12	2026-05-12	lever-api	Senior Product Manager - Connect	Qonto	added
https://jobs.lever.co/qonto/ccebc25a-cc07-458e-bf9b-d36c33de441c	2026-05-12	lever-api	Senior Product Manager - KYC/KYB	Qonto	added
https://jobs.lever.co/qonto/4da0db79-ae25-4983-bae1-4fb99acb4c26	2026-05-12	lever-api	Senior Product Marketing Manager - German Market	Qonto	added
https://jobs.lever.co/pigment/02224c31-9528-460b-b491-8cce972dfe57	2026-05-12	lever-api	Product Marketing Manager	Pigment	added
https://jobs.lever.co/pigment/39662985-9160-45be-8363-352c69edeeef	2026-05-12	lever-api	Senior GenAI Engineer	Pigment	added
https://jobs.lever.co/mistral/6201f9a0-233f-4de3-a8cc-65b75e99370f	2026-05-12	lever-api	Product Manager, AI Studio	Mistral AI	added
https://jobs.lever.co/mistral/ca22a1ac-c87e-4463-914a-6753ca79318c	2026-05-12	lever-api	Product Manager, Cloud Partnerships	Mistral AI	added
https://jobs.lever.co/mistral/c08c3a0f-9899-4e6c-8195-8b1cc24c56ff	2026-05-12	lever-api	Product Manager, Context & Search	Mistral AI	added
https://jobs.lever.co/mistral/7809b483-bdae-4964-97c7-5b8d232a142f	2026-05-12	lever-api	Product Manager, Document Intelligence	Mistral AI	added
https://jobs.lever.co/mistral/11087966-f183-44b1-adc9-3a400c1f52ad	2026-05-12	lever-api	Product Manager, Forge	Mistral AI	added
https://jobs.lever.co/mistral/650e0e53-dc35-4e61-9b46-6f7ef003d0be	2026-05-12	lever-api	Product Manager, Mistral Vibe	Mistral AI	added
https://jobs.lever.co/mistral/c5e134c7-0513-40cb-99f7-e1e87f9a3349	2026-05-12	lever-api	Product Marketing Manager, Solutions	Mistral AI	added
https://jobs.lever.co/mistral/8f3566b9-8165-46e1-899f-f37f8fe35ab5	2026-05-12	lever-api	Senior Product Marketing Manager - Studio	Mistral AI	added
https://jobs.lever.co/mistral/281f4a57-dbe2-40b5-a35f-e180e15a4f12	2026-05-12	lever-api	Senior Product Marketing Manager, B2B	Mistral AI	added
https://jobs.lever.co/nium/12b995bd-8bfe-4cb5-8d1b-83b33906fe85	2026-05-12	lever-api	Senior Product Manager - Card Processing	Nium	added
https://jobs.lever.co/nium/78af3df0-9ee6-43f4-85d4-e4eabfa2d576	2026-05-12	lever-api	Sr. Product Manager	Nium	added
https://jobs.lever.co/nium/c1bdb6eb-2ee5-410d-aa96-985401fa57b9	2026-05-12	lever-api	Staff Product Manager	Nium	added
https://jobs.lever.co/nium/64a5b08f-20b6-4a56-957a-c02a28d6aa0c	2026-05-12	lever-api	Staff Product Manager - LATAM	Nium	added
http://stability.ai/careers?gh_jid=4712826101	2026-05-12	greenhouse-api	Generative AI Inference Engineer	Stability AI	added
http://stability.ai/careers?gh_jid=4770256101	2026-05-12	greenhouse-api	Multimodal Generative AI Researcher	Stability AI	added
https://jobs.lever.co/spotify/24bbec30-05b4-4493-931b-18731c72d0a3	2026-05-12	lever-api	Associate Manager, Product Marketing - Podcast Business	Spotify	added
https://jobs.lever.co/spotify/4a68b983-4fc9-4933-be54-a919ddfaecd5	2026-05-12	lever-api	Creative Business Strategies (CBS) Manager - Argentina	Spotify	added
https://jobs.lever.co/spotify/a5a8a486-eb9d-4645-923e-13cb41c16129	2026-05-12	lever-api	Creative Business Strategies (CBS) Manager - Colombia	Spotify	added
https://jobs.lever.co/spotify/b6e58287-4355-4f1d-9b56-3add5509b8e8	2026-05-12	lever-api	Principal Product Manager - ML / Subscriptions Growth	Spotify	added
https://jobs.lever.co/spotify/f38133ce-c2d7-4473-ab69-6bdcb1703297	2026-05-12	lever-api	Principal Product Manager, Experience	Spotify	added
https://jobs.lever.co/spotify/ba28dba6-91d0-49ce-881d-dbe2c2ae85e5	2026-05-12	lever-api	Product Manager - Platform Tooling	Spotify	added
https://jobs.lever.co/spotify/df021346-1c23-4184-b27f-b65c47d75564	2026-05-12	lever-api	Senior Conversational AI Lead	Spotify	added
https://jobs.lever.co/spotify/d30af7c7-67aa-404a-a1a5-b8b3838e08c3	2026-05-12	lever-api	Senior Product Manager - Subscriptions	Spotify	added
https://jobs.lever.co/spotify/aced8bea-4eef-435b-b32f-734ca776d31e	2026-05-12	lever-api	Senior Product Manager - Subscriptions Mission	Spotify	added
https://jobs.lever.co/spotify/3e76b5e6-c86c-42eb-8be7-05d9246dd901	2026-05-12	lever-api	Senior Product Manager, Core Experience (Playback)	Spotify	added
https://n26.com/en-eu/careers/positions/7868515?gh_jid=7868515	2026-05-12	greenhouse-api	Product Manager - Data Governance & Analytics Engineering	N26	added
https://n26.com/en-eu/careers/positions/7868456?gh_jid=7868456	2026-05-12	greenhouse-api	Product Manager - Lending	N26	added
https://n26.com/en-eu/careers/positions/7668142?gh_jid=7668142	2026-05-12	greenhouse-api	(Senior) Product Manager - Onboarding & KYC	N26	added
https://n26.com/en-eu/careers/positions/7140089?gh_jid=7140089	2026-05-12	greenhouse-api	Senior Product Manager - Payments Platform (Backend)	N26	added
https://n26.com/en-eu/careers/positions/7653388?gh_jid=7653388	2026-05-12	greenhouse-api	Senior Product Manager - Runtime Platform	N26	added
https://job-boards.greenhouse.io/celonis/jobs/7683568003?gh_jid=7683568003	2026-05-12	greenhouse-api	Client Engagement Partner - AI-Driven Transformation & Process Intelligence	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7712529003?gh_jid=7712529003	2026-05-12	greenhouse-api	Manager, Value Engineering - Public Sector Transformation	Celonis	added
https://job-boards.greenhouse.io/contentful/jobs/7635752	2026-05-12	greenhouse-api	Senior Product Manager (f/m/d)	Contentful	added
https://job-boards.greenhouse.io/contentful/jobs/7752248	2026-05-12	greenhouse-api	Senior Product Operations Manager (f/m/d)	Contentful	added
https://careers.hellofresh.com/global/en/job/7721917?gh_jid=7721917	2026-05-12	greenhouse-api	Product Analyst (All Genders)	HelloFresh	added
https://job-boards.greenhouse.io/intercom/jobs/7811880	2026-05-12	greenhouse-api	Principal Engineer - Go-To-Market	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7511861	2026-05-12	greenhouse-api	Senior Product Manager, Web 	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7464294	2026-05-12	greenhouse-api	Staff AI Product Manager	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/5379326	2026-05-12	greenhouse-api	Staff Product Manager	Intercom	added
https://jobs.ashbyhq.com/elevenlabs/f2ae7fe0-67da-48ae-b126-b942899ec7e9	2026-05-12	ashby-api	Product Marketing - Agents	ElevenLabs	added
https://job-boards.greenhouse.io/gleanwork/jobs/4659409005	2026-05-12	greenhouse-api	Forward Deployed Product Manager	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4007711005	2026-05-12	greenhouse-api	Product Manager	Glean	added
https://jobs.lever.co/pigment/150fdf8f-a235-4404-b9b4-289f15096b1a	2026-05-12	lever-api	Product Marketing Manager	Pigment	added
